Paises,tipo_de_processo,Utilização_final,Numero_de_plantas,Capacidade_de_produção_T/ano,Produção_T/ano,Ano,Total,Cluster
Netherlands,Reforming,Refining,2,2498097,2417578,2023,4915675,0
Netherlands,Reforming (carbon capture),Other chemicals,1,4157153,3097079,2023,7254232,0
Norway,By-product,Unknown,2,9128,565936,2023,575064,0
Norway,By-product,Other chemicals,1,1120,6944,2023,8064,0
Norway,By-product,Refining,1,102486,716495,2023,818981,0
Norway,By-product,Other chemicals,1,157792,117555,2023,275347,0
Norway,Reforming,Ammonia,1,8877625,6569443,2023,15447068,0
Norway,Reforming,Methanol,1,124740,573804,2023,698544,0
Norway,Reforming,Refining,1,5223881,3652094,2023,8875975,0
Poland,By-product,Ammonia,1,5460,33852,2023,39312,0
Poland,By-product,Unknown,1,5880,36456,2023,42336,0
Poland,By-product,Refining,1,119567,980449,2023,1100016,0
Poland,Reforming,Ammonia,6,61207353,32029814,2023,93237167,0
Poland,Reforming,Other chemicals,3,1087992,810554,2023,1898546,0
Poland,Reforming,Refining,4,52604105,37707692,2023,90311797,0
Poland,Reforming,Unknown,2,76212,567779,2023,643991,0
Poland,Reforming,Other chemicals,1,15768,117472,2023,133240,0
Portugal,By-product,Other chemicals,1,3976,246512,2023,250488,0
Portugal,By-product,Refining,1,700321,575819,2023,1276140,0
Portugal,By-product,Other chemicals,1,94716,70563,2023,165279,0
Portugal,Reforming,Refining,1,100000,9599527,2023,9699527,0
Portugal,Reforming,Other chemicals,1,11350,845575,2023,856925,0
Romania,By-product,Unknown,2,5824,361088,2023,366912,0
Romania,Reforming,Ammonia,1,12322144,985771,2023,13307915,0
Romania,Reforming,Methanol,1,4173593,1919853,2023,6093446,0
Romania,Reforming,Refining,3,7674187,6303796,2023,13977983,0
Slovakia,By-product,Other chemicals,1,2500,121232,2023,123732,0
Slovakia,By-product,Refining,1,384323,323014,2023,707337,0
Slovakia,Reforming,Ammonia,1,100000,7723534,2023,7823534,0
Slovakia,Reforming,Other chemicals,1,21100,841944,2023,863044,0
Slovakia,Reforming,Refining,1,90000,7960887,2023,8050887,0
Slovakia,Reforming,Unknown,1,600,49881,2023,50481,0
Slovenia,By-product,Unknown,1,448,27776,2023,28224,0
Slovenia,Reforming,Other chemicals,1,2200,14684,2023,16884,0
Spain,By-product,Unknown,2,1344,83328,2023,84672,0
Spain,By-product,Other chemicals,5,10248,635376,2023,645624,0
Spain,By-product,Other chemicals,1,1152968,900779,2023,2053747,0
Spain,By-product,Refining,2,1373312,1072927,2023,2446239,0
Spain,By-product,Unknown,1,23679,176409,2023,200088,0
Spain,By-product,Other chemicals,1,22969,17112,2023,40081,0
Spain,By-product,Refining,1,89001,695338,2023,784339,0
Spain,Reforming,Ammonia,3,10812947,69998,2023,10882945,0
Spain,Reforming,Refining,8,46868646,3652606,2023,50521252,3
Spain,Reforming,Other chemicals,1,7879,586985,2023,594864,0
Spain,Reforming,Refining,3,11930183,9036996,2023,20967179,0
Sweden,By-product,Unknown,1,3444,213528,2023,216972,0
Sweden,By-product,Other chemicals,1,1067563,827714,2023,1895277,0
Sweden,By-product,Unknown,1,2697,200927,2023,203624,0
Sweden,By-product,Other chemicals,1,2606551,194188,2023,2800739,0
Sweden,Reforming,Methanol,2,1347885,620027,2023,1967912,0
Sweden,Reforming,Refining,4,15480446,1200246,2023,16680692,0
Sweden,Reforming,Unknown,4,68219,50823,2023,119042,0
Switzerland,By-product,Other chemicals,1,1316,81592,2023,82908,0
Switzerland,Reforming,Other chemicals,2,677251,504552,2023,1181803,0
Switzerland,Reforming,Refining,1,13750,1152574,2023,1166324,0
Switzerland,Reforming,Unknown,1,600,447,2023,1047,0
United Kingdom,By-product,Unknown,2,1428,88536,2023,89964,0
United Kingdom,By-product,Unknown,1,12320,76384,2023,88704,0
United Kingdom,By-product,Other chemicals,1,1477507,1136916,2023,2614423,0
United Kingdom,By-product,Refining,2,2510907,1932101,2023,4443008,0
